112,Nashville Predators,Zach Stepan\stepaza01,US,C,18,,Shattuck-St. Mary's (High-MN),,,,,,,,,,,,
113,Pittsburgh Penguins,Sean Maguire\maguise01,CA,G,19,,Powell River (BCHL),,,,,,,,,,,,
114,Florida Panthers,Alexander Delnov\delnoal01,RU,LW,18,,Mytischi 2 (Russia-Jr.),,,,,,,,,,,,
115,Carolina Hurricanes,Trevor Carrick\carritr01,CA,D,18,2016,Mississauga St. Michael's (OHL),2,0,0,0,-1,0,,,,,,
116,St. Louis Blues,Nicholas Walters\walteni01,CA,D,18,,Everett (WHL),,,,,,,,,,,,
117,Philadelphia Flyers,Taylor Leier\leierta01,CA,LW,18,2016,Portland (WHL),6,0,0,0,0,0,,,,,,
118,Nashville Predators,Mikko Vainonen\vainomi01,FI,D,18,,HIFK Jr. (Finland-Jr.),,,,,,,,,,,,
119,New York Rangers,Calle Andersson\anderca01,SE,D,18,,Farjestad Jr. (Sweden-Jr.),,,,,,,,,,,,
120,Carolina Hurricanes,Jaccob Slavin\slavija01,US,D,18,2016,Chicago (USHL),63,2,18,20,1,8,,,,,,
121,Los Angeles Kings,Nikolay Prokhorkin\prokhni01,RU,LW,18,,CSKA 2 (Russia-Jr.),,,,,,,,,,,,
,Round 5,Round 5,,,,,,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats
Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
122,Montreal Canadiens,Charles Hudon\hudonch01,CA,LW,18,2016,Chicoutimi (QMJHL),3,0,2,2,2,0,,,,,,
123,Edmonton Oilers,Joey Laleggia\lalegjo01,CA,D,20,,Denver (WCHA),,,,,,,,,,,,
124,Calgary Flames,Ryan Culkin\culkiry01,CA,D,18,,Quebec (QMJHL),,,,,,,,,,,,
125,New York Islanders,Doyle Somerby\somerdo01,US,D,18,,Kimball Union (High-NH),,,,,,,,,,,,
126,Toronto Maple Leafs,Dominic Toninato\tonindo01,US,C,18,,Duluth East (High-MN),,,,,,,,,,,,
127,Anaheim Ducks,Brian Cooper\coopebr01,US,D,18,,Fargo (USHL),,,,,,,,,,,,
128,Minnesota Wild,Daniel Gunnarsson\gunnada01,SE,D,20,,Lulea (Sweden),,,,,,,,,,,,
129,Carolina Hurricanes,Brendan Woods\woodsbr01,CA,LW,20,2016,Wisconsin (WCHA),7,0,0,0,-1,7,,,,,,
130,Winnipeg Jets,Connor Hellebuyck\helleco01,US,G,19,2016,Odessa (NAHL),26,0,0,0,0,0,26,13,11,1,.918,2.34
131,Boston Bruins,Seth Griffith\griffse01,CA,C,19,2016,London (OHL),34,6,5,11,-6,10,,,,,,
132,Colorado Avalanche,Michael Clarke\clarkmi01,CA,C,18,,Windsor (OHL),,,,,,,,,,,,
133,Buffalo Sabres,Logan Nelson\nelsolo01,US,C,19,,Victoria (WHL),,,,,,,,,,,,
134,Dallas Stars,Branden Troock\troocbr01,CA,RW,18,,Seattle (WHL),,,,,,,,,,,,
135,New Jersey Devils,Graham Black\blackgr01,CA,C,19,,Swift Current (WHL),,,,,,,,,,,,
136,Ottawa Senators,Robert Baillargeon\baillro01,US,C,18,,Indiana (USHL),,,,,,,,,,,,
137,Washington Capitals,Connor Carrick\carrico01,US,D,18,2016,USA U-18 (USHL),53,3,7,10,-14,38,,,,,,
138,San Jose Sharks,Daniel O'Regan\oregada01,DE,C,18,,St. Sebastian's (High-MA),,,,,,,,,,,,
139,Chicago Blackhawks,Garret Ross\rossga01,US,LW,20,,Saginaw (OHL),,,,,,,,,,,,
140,Detroit Red Wings,Michael McKee\mckeemi02,CA,D,19,,Lincoln (USHL),,,,,,,,,,,,
141,Philadelphia Flyers,Reece Willcox\willcre01,CA,D,18,,Merritt (BCHL),,,,,,,,,,,,
142,New York Rangers,Thomas Spelling\spellth01,DK,RW,19,,Herning (Denmark),,,,,,,,,,,,
143,Pittsburgh Penguins,Clark Seymour\seymocl01,CA,D,19,,Peterborough (OHL),,,,,,,,,,,,
144,Dallas Stars,Henri Kiviaho\kiviahe01,FI,G,18,,Kalpa Jr. (Finland-Jr.),,,,,,,,,,,,
145,Boston Bruins,Cody Payne\payneco01,GB,RW,18,,Plymouth (OHL),,,,,,,,,,,,
146,St. Louis Blues,Francois Tremblay\trembfr01,CA,G,18,,Val-D'Or (QMJHL),,,,,,,,,,,,
147,Vancouver Canucks,Ben Hutton\huttobe01,CA,D,19,2016,Nepean (CCHL),75,1,24,25,-21,14,,,,,,
148,Phoenix Coyotes,Niklas Tikkinen\tikkini01,FI,D,18,,Blues Jr. (Finland-Jr.),,,,,,,,,,,,
149,Chicago Blackhawks,Travis Brown\browntr01,CA,D,18,,Moose Jaw (WHL),,,,,,,,,,,,
150,New Jersey Devils,Alexander Kerfoot\kerfoal01,CA,C,18,,Coquitlam (BCHL),,,,,,,,,,,,
151,Los Angeles Kings,Colin Miller\milleco02,CA,D,19,2016,Sault Ste. Marie (OHL),42,3,13,16,0,39,,,,,,
